Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"The Will to Change: Men, Masculinity, and Love",bell hooks,"",9780743456081,paperback,read,2022/08/22,2024/03/07,2023/08/18-2024/03/07,1,"informative, reflective, emotional, challenging, inspiring, hopeful",slow,,,,,,4.75,"","","","",Yes
Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,"",9780544236042,hardcover,read,2022/05/31,2022/05/31,2022/05/31-2022/05/31,2,"lighthearted, funny, informative",medium,,,,,,3.75,"","","","",Yes
"How to Resist Amazon and Why: The Fight for Local Economics, Data Privacy, Fair Labor, Independent Bookstores, and a People-Powered Future!",Danny Caine,"",9781621067061,paperback,read,2022/02/06,2022/02/24,2022/02/15-2022/02/24,1,"informative, inspiring",medium,,,,,,4.5,"","","","",Yes
Death's End,Cixin Liu,Ken Liu (Translator),9780765377104,hardcover,to-read,2025/03/25,"","",0,"",,,,,,,,,"",,"",No
A Death in Door County,Annelise Ryan,"",9780593441589,digital,to-read,2024/09/01,"","",0,"",,,,,,,,,"",,"",No
The End of Everything (Astrophysically Speaking),Katie Mack,"",9781982103545,hardcover,read,2022/01/16,2022/01/31,2022/01/16-2022/01/31,1,"informative, reflective",slow,,,,,,4.5,,"","","",Yes
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"",9781594205224,hardcover,to-read,2022/06/23,"","",0,"",,,,,,,,,"",,"",No
If Beale Street Could Talk,James Baldwin,"",9780307275936,paperback,to-read,2024/02/04,"","",0,"",,,,,,,,,"",,"",No
Guerrilla Warfare,Ernesto Che Guevara,"",9788187496847,hardcover,read,2024/02/19,2024/02/19,2024/02/05-2024/02/19,1,"",,,,,,,,,"",,"",No
Letters to a Young Poet,Rainer Maria Rilke,Reginald Snell (Translator),9780486422459,paperback,read,2022/12/28,2023/02/16,2023/02/16,1,"relaxing, reflective, emotional, inspiring",fast,,,,,,4.75,"","","","",Yes
Circe,Madeline Miller,"",9780316556347,hardcover,read,2023/06/12,2023/06/12,2023/06/05-2023/06/12,1,"",,,,,,,,,"",,"",No
Love and Other Thought Experiments,Sophie Ward,"","",digital,to-read,2022/04/24,"","",0,"",,,,,,,,,"",,"",No
Project Hail Mary,Andy Weir,"",9780593135204,hardcover,to-read,2025/03/25,"","",0,"",,,,,,,,,"",,"",No
The Lesson,Cadwell Turnbull,"",9781538584644,hardcover,currently-reading,2025/03/10,"","",0,"",,,,,,,,,"",,"",No
Toad,Katherine Dunn,"",9780374602321,hardcover,to-read,2022/12/30,"","",0,"",,,,,,,,,"",,"",No
"After Tonight, Everything Will Be Different",Adam Gnade,"",9781939899989,paperback,read,2022/10/03,2023/02/06,2023/01/03-2023/02/06,1,"funny, sad, reflective, emotional, inspiring, hopeful",fast,Character,Yes,Yes,Yes,Yes,5.0,<div>this is a beautiful book</div>,Graphic: Drug use; Moderate: Drug use; ,"","",Yes
Recursion,Blake Crouch,"",9781524759780,hardcover,to-read,2025/05/22,"","",0,"",,,,,,,,,"",,"",No
The Obelisk Gate,N.K. Jemisin,"",9780356508368,paperback,read,2022/04/14,2022/05/22,2022/04/14-2022/05/22,2,"dark, inspiring, adventurous",medium,Character,Yes,Yes,Yes,Yes,3.5,"","","","",No
Ancillary Justice,Ann Leckie,"",9780316565172,paperback,currently-reading,2025/05/23,"","",0,"",,,,,,,,,"",,"",Yes
"Thinking, Fast and Slow",Daniel Kahneman,"",9780374275631,hardcover,to-read,2023/06/17,"","",0,"",,,,,,,,,"",,"",No
Games and Rituals,Katherine Heiny,"",9780525659518,hardcover,to-read,2023/05/22,"","",0,"",,,,,,,,,"",,"",No
Gideon the Ninth,Tamsyn Muir,"",9781250313195,hardcover,read,2023/01/02,2023/06/02,2023/01/02-2023/06/02,1,"",,,,,,,,,"",,"",Yes
"The Panthers Can't Save Us Now: Debating Black Life, Policing and Left Struggle",Cedric Johnson,"",9781839766305,paperback,did-not-finish,2024/03/08,"","",0,"",,,,,,,,,"",,"",No
The Myth of Sisyphus and Other Essays,Albert Camus,Justin O'Brien,0679733736,paperback,to-read,2022/08/28,"","",0,"",,,,,,,,,"",,"",No
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"",9780593321201,hardcover,to-read,2023/03/21,"","",0,"",,,,,,,,,"",,"",No
The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,Aleida Guevara March (Translator),9781876175702,paperback,read,2024/01/29,2024/02/04,2024/01/29-2024/02/04,1,"",,,,,,,,,"",,"",No
A Clockwork Orange,Anthony Burgess,"",9780393341768,paperback,to-read,2025/05/19,"","",0,"",,,,,,,,,"",,"",No
New Pompeii,Daniel Godfrey,"",9781783298112,paperback,read,2022/01/16,2022/02/05,2022/02/03-2022/02/05,1,"mysterious, adventurous",fast,Plot,It's complicated,No,No,No,4.75,"","","","",Yes
The Art of Doing Science and Engineering: Learning to Learn,Richard Hamming,"",9781732265172,hardcover,to-read,2025/05/25,"","",0,"",,,,,,,,,"",,"",Yes
The Singing Wilderness,Sigurd F. Olson,"",9780816629923,paperback,read,2022/02/28,2022/06/21,2022/06/21,1,"relaxing, reflective, adventurous",slow,,,,,,4.0,"","","","",No
